Series Id,Year,Period,Value
CUSR0000SA0,1997,M06,0.2
CUSR0000SA0,1997,M07,0.1
CUSR0000SA0,1997,M08,0.2
CUSR0000SA0,1997,M09,0.2
CUSR0000SA0,1997,M10,0.2
CUSR0000SA0,1997,M11,0.1
CUSR0000SA0,1997,M12,0.1
CUSR0000SA0,1998,M01,0.1
CUSR0000SA0,1998,M02,0.0
CUSR0000SA0,1998,M03,0.0
CUSR0000SA0,1998,M04,0.1
CUSR0000SA0,1998,M05,0.2
CUSR0000SA0,1998,M06,0.1
CUSR0000SA0,1998,M07,0.2
CUSR0000SA0,1998,M08,0.1
CUSR0000SA0,1998,M09,0.1
CUSR0000SA0,1998,M10,0.2
CUSR0000SA0,1998,M11,0.1
CUSR0000SA0,1998,M12,0.2
CUSR0000SA0,1999,M01,0.2
CUSR0000SA0,1999,M02,0.0
CUSR0000SA0,1999,M03,0.1
CUSR0000SA0,1999,M04,0.7
CUSR0000SA0,1999,M05,0.1
CUSR0000SA0,1999,M06,0.0
CUSR0000SA0,1999,M07,0.4
CUSR0000SA0,1999,M08,0.2
CUSR0000SA0,1999,M09,0.4
CUSR0000SA0,1999,M10,0.2
CUSR0000SA0,1999,M11,0.2
CUSR0000SA0,1999,M12,0.2
CUSR0000SA0,2000,M01,0.3
CUSR0000SA0,2000,M02,0.4
CUSR0000SA0,2000,M03,0.6
CUSR0000SA0,2000,M04,-0.1
CUSR0000SA0,2000,M05,0.2
CUSR0000SA0,2000,M06,0.6
CUSR0000SA0,2000,M07,0.3
CUSR0000SA0,2000,M08,0.0
CUSR0000SA0,2000,M09,0.5
CUSR0000SA0,2000,M10,0.2
CUSR0000SA0,2000,M11,0.2
CUSR0000SA0,2000,M12,0.2
CUSR0000SA0,2001,M01,0.6
CUSR0000SA0,2001,M02,0.2
CUSR0000SA0,2001,M03,0.1
CUSR0000SA0,2001,M04,0.2
CUSR0000SA0,2001,M05,0.5
CUSR0000SA0,2001,M06,0.2
CUSR0000SA0,2001,M07,-0.2
CUSR0000SA0,2001,M08,0.0
CUSR0000SA0,2001,M09,0.4
CUSR0000SA0,2001,M10,-0.3
CUSR0000SA0,2001,M11,-0.1
CUSR0000SA0,2001,M12,-0.1
CUSR0000SA0,2002,M01,0.2
CUSR0000SA0,2002,M02,0.2
CUSR0000SA0,2002,M03,0.3
CUSR0000SA0,2002,M04,0.4
CUSR0000SA0,2002,M05,0.1
CUSR0000SA0,2002,M06,0.1
CUSR0000SA0,2002,M07,0.2
CUSR0000SA0,2002,M08,0.3
CUSR0000SA0,2002,M09,0.2
CUSR0000SA0,2002,M10,0.2
CUSR0000SA0,2002,M11,0.2
CUSR0000SA0,2002,M12,0.2
CUSR0000SA0,2003,M01,0.4
CUSR0000SA0,2003,M02,0.5
CUSR0000SA0,2003,M03,0.2
CUSR0000SA0,2003,M04,-0.4
CUSR0000SA0,2003,M05,-0.2
CUSR0000SA0,2003,M06,0.1
CUSR0000SA0,2003,M07,0.3
CUSR0000SA0,2003,M08,0.4
CUSR0000SA0,2003,M09,0.3
CUSR0000SA0,2003,M10,-0.1
CUSR0000SA0,2003,M11,0.1
CUSR0000SA0,2003,M12,0.3
CUSR0000SA0,2004,M01,0.4
CUSR0000SA0,2004,M02,0.2
CUSR0000SA0,2004,M03,0.2
CUSR0000SA0,2004,M04,0.2
CUSR0000SA0,2004,M05,0.4
CUSR0000SA0,2004,M06,0.4
CUSR0000SA0,2004,M07,0.1
CUSR0000SA0,2004,M08,0.1
CUSR0000SA0,2004,M09,0.3
CUSR0000SA0,2004,M10,0.5
